timestamp,equity,month
2022-06-01 00:00:00,44209.178155872614,2022-06
2022-06-01 01:00:00,44209.178155872614,2022-06
2022-06-01 02:00:00,44209.178155872614,2022-06
2022-06-01 03:00:00,44209.178155872614,2022-06
2022-06-01 04:00:00,44209.178155872614,2022-06
2022-06-01 05:00:00,44164.968977716744,2022-06
2022-06-01 06:00:00,44112.37148216295,2022-06
2022-06-01 07:00:00,43969.64875060049,2022-06
2022-06-01 08:00:00,44168.64214323205,2022-06
2022-06-01 09:00:00,44223.750408029264,2022-06
2022-06-01 10:00:00,44223.750408029264,2022-06
2022-06-01 11:00:00,44223.750408029264,2022-06
2022-06-01 12:00:00,44223.750408029264,2022-06
2022-06-01 13:00:00,44223.750408029264,2022-06
2022-06-01 14:00:00,44223.750408029264,2022-06
2022-06-01 15:00:00,44223.750408029264,2022-06
2022-06-01 16:00:00,44223.750408029264,2022-06
2022-06-01 17:00:00,44223.750408029264,2022-06
2022-06-01 18:00:00,44223.750408029264,2022-06
2022-06-01 19:00:00,44223.750408029264,2022-06
2022-06-01 20:00:00,44223.750408029264,2022-06
2022-06-01 21:00:00,44223.750408029264,2022-06
2022-06-01 22:00:00,44223.750408029264,2022-06
2022-06-01 23:00:00,44223.750408029264,2022-06
2022-06-02 00:00:00,44223.750408029264,2022-06
2022-06-02 01:00:00,44223.750408029264,2022-06
2022-06-02 02:00:00,44223.750408029264,2022-06
2022-06-02 03:00:00,44223.750408029264,2022-06
2022-06-02 04:00:00,44223.750408029264,2022-06
2022-06-02 05:00:00,44223.750408029264,2022-06
2022-06-02 06:00:00,44223.750408029264,2022-06
2022-06-02 07:00:00,44223.750408029264,2022-06
2022-06-02 08:00:00,44223.750408029264,2022-06
2022-06-02 09:00:00,44223.750408029264,2022-06
2022-06-02 10:00:00,44223.750408029264,2022-06
2022-06-02 11:00:00,44223.750408029264,2022-06
2022-06-02 12:00:00,44223.750408029264,2022-06
2022-06-02 13:00:00,44223.750408029264,2022-06
2022-06-02 14:00:00,44223.750408029264,2022-06
2022-06-02 15:00:00,44223.750408029264,2022-06
2022-06-02 16:00:00,44223.750408029264,2022-06
2022-06-02 17:00:00,44223.750408029264,2022-06
2022-06-02 18:00:00,44223.750408029264,2022-06
2022-06-02 19:00:00,44223.750408029264,2022-06
2022-06-02 20:00:00,44223.750408029264,2022-06
2022-06-02 21:00:00,44223.750408029264,2022-06
2022-06-02 22:00:00,44223.750408029264,2022-06
2022-06-02 23:00:00,44223.750408029264,2022-06
2022-06-03 00:00:00,44223.750408029264,2022-06
2022-06-03 01:00:00,44223.750408029264,2022-06
2022-06-03 02:00:00,44223.750408029264,2022-06
2022-06-03 03:00:00,44223.750408029264,2022-06
2022-06-03 04:00:00,44223.750408029264,2022-06
2022-06-03 05:00:00,44223.750408029264,2022-06
2022-06-03 06:00:00,44223.750408029264,2022-06
2022-06-03 07:00:00,44223.750408029264,2022-06
2022-06-03 08:00:00,44223.750408029264,2022-06
2022-06-03 09:00:00,44223.750408029264,2022-06
2022-06-03 10:00:00,44223.750408029264,2022-06
2022-06-03 11:00:00,44223.750408029264,2022-06
2022-06-03 12:00:00,44223.750408029264,2022-06
2022-06-03 13:00:00,44223.750408029264,2022-06
2022-06-03 14:00:00,44223.750408029264,2022-06
2022-06-03 15:00:00,44223.750408029264,2022-06
2022-06-03 16:00:00,44223.750408029264,2022-06
2022-06-03 17:00:00,44223.750408029264,2022-06
2022-06-03 18:00:00,44223.750408029264,2022-06
2022-06-03 19:00:00,44223.750408029264,2022-06
2022-06-03 20:00:00,44223.750408029264,2022-06
2022-06-03 21:00:00,44223.750408029264,2022-06
2022-06-03 22:00:00,44223.750408029264,2022-06
2022-06-03 23:00:00,44223.750408029264,2022-06
2022-06-04 00:00:00,44223.750408029264,2022-06
2022-06-04 01:00:00,44223.750408029264,2022-06
2022-06-04 02:00:00,44223.750408029264,2022-06
2022-06-04 03:00:00,44223.750408029264,2022-06
2022-06-04 04:00:00,44223.750408029264,2022-06
2022-06-04 05:00:00,44223.750408029264,2022-06
2022-06-04 06:00:00,44223.750408029264,2022-06
2022-06-04 07:00:00,44223.750408029264,2022-06
2022-06-04 08:00:00,44223.750408029264,2022-06
2022-06-04 09:00:00,44223.750408029264,2022-06
2022-06-04 10:00:00,44223.750408029264,2022-06
2022-06-04 11:00:00,44223.750408029264,2022-06
2022-06-04 12:00:00,44223.750408029264,2022-06
2022-06-04 13:00:00,44223.750408029264,2022-06
2022-06-04 14:00:00,44179.52665762124,2022-06
2022-06-04 15:00:00,44300.41557012455,2022-06
2022-06-04 16:00:00,44141.08493298991,2022-06
2022-06-04 17:00:00,44083.38525445219,2022-06
2022-06-04 18:00:00,44166.69296722907,2022-06
2022-06-04 19:00:00,43998.65322459131,2022-06
2022-06-04 20:00:00,44138.6517246381,2022-06
2022-06-04 21:00:00,44281.91428466902,2022-06
2022-06-04 22:00:00,44225.06029439991,2022-06
2022-06-04 23:00:00,44308.1899675413,2022-06
2022-06-05 00:00:00,44125.10587570394,2022-06
2022-06-05 01:00:00,44052.55472423841,2022-06
2022-06-05 02:00:00,44204.259330319204,2022-06
2022-06-05 03:00:00,44164.141065786935,2022-06
2022-06-05 04:00:00,44098.78568292279,2022-06
2022-06-05 05:00:00,44204.19998377404,2022-06
2022-06-05 06:00:00,44108.88943223731,2022-06
2022-06-05 07:00:00,43984.202340843374,2022-06
2022-06-05 08:00:00,44052.65858069245,2022-06
2022-06-05 09:00:00,43974.98878970634,2022-06
2022-06-05 10:00:00,43978.238013054186,2022-06
2022-06-05 11:00:00,44092.539459044056,2022-06
2022-06-05 12:00:00,44091.50089450365,2022-06
2022-06-05 13:00:00,44000.21107140192,2022-06
2022-06-05 14:00:00,44200.87657724474,2022-06
2022-06-05 15:00:00,44468.69269894297,2022-06
2022-06-05 16:00:00,44312.49259206584,2022-06
2022-06-05 17:00:00,44542.534637765864,2022-06
2022-06-05 18:00:00,44504.434155769246,2022-06
2022-06-05 19:00:00,44583.88434311033,2022-06
2022-06-05 20:00:00,44429.553652405935,2022-06
2022-06-05 21:00:00,44458.3218901752,2022-06
2022-06-05 22:00:00,44543.54352903368,2022-06
2022-06-05 23:00:00,44390.04368996162,2022-06
2022-06-06 00:00:00,44957.53019147598,2022-06
2022-06-06 01:00:00,45762.224834019165,2022-06
2022-06-06 02:00:00,45883.9445981548,2022-06
2022-06-06 03:00:00,46365.97207463,2022-06
2022-06-06 04:00:00,46280.1164366295,2022-06
2022-06-06 05:00:00,46280.1164366295,2022-06
2022-06-06 06:00:00,46280.1164366295,2022-06
2022-06-06 07:00:00,46280.1164366295,2022-06
2022-06-06 08:00:00,46280.1164366295,2022-06
2022-06-06 09:00:00,46280.1164366295,2022-06
2022-06-06 10:00:00,46280.1164366295,2022-06
2022-06-06 11:00:00,46280.1164366295,2022-06
2022-06-06 12:00:00,46280.1164366295,2022-06
2022-06-06 13:00:00,46280.1164366295,2022-06
2022-06-06 14:00:00,46280.1164366295,2022-06
2022-06-06 15:00:00,46280.1164366295,2022-06
2022-06-06 16:00:00,46280.1164366295,2022-06
2022-06-06 17:00:00,46280.1164366295,2022-06
2022-06-06 18:00:00,46280.1164366295,2022-06
2022-06-06 19:00:00,46280.1164366295,2022-06
2022-06-06 20:00:00,46280.1164366295,2022-06
2022-06-06 21:00:00,46280.1164366295,2022-06
2022-06-06 22:00:00,46280.1164366295,2022-06
2022-06-06 23:00:00,46280.1164366295,2022-06
2022-06-07 00:00:00,46280.1164366295,2022-06
2022-06-07 01:00:00,46280.1164366295,2022-06
2022-06-07 02:00:00,46280.1164366295,2022-06
2022-06-07 03:00:00,46280.1164366295,2022-06
2022-06-07 04:00:00,46280.1164366295,2022-06
2022-06-07 05:00:00,46280.1164366295,2022-06
2022-06-07 06:00:00,46280.1164366295,2022-06
2022-06-07 07:00:00,46280.1164366295,2022-06
2022-06-07 08:00:00,46280.1164366295,2022-06
2022-06-07 09:00:00,46280.1164366295,2022-06
2022-06-07 10:00:00,46280.1164366295,2022-06
2022-06-07 11:00:00,46280.1164366295,2022-06
2022-06-07 12:00:00,46280.1164366295,2022-06
2022-06-07 13:00:00,46280.1164366295,2022-06
2022-06-07 14:00:00,46280.1164366295,2022-06
2022-06-07 15:00:00,46280.1164366295,2022-06
2022-06-07 16:00:00,46280.1164366295,2022-06
2022-06-07 17:00:00,46280.1164366295,2022-06
2022-06-07 18:00:00,46280.1164366295,2022-06
2022-06-07 19:00:00,46280.1164366295,2022-06
2022-06-07 20:00:00,46280.1164366295,2022-06
2022-06-07 21:00:00,46280.1164366295,2022-06
2022-06-07 22:00:00,46280.1164366295,2022-06
2022-06-07 23:00:00,46280.1164366295,2022-06
2022-06-08 00:00:00,46280.1164366295,2022-06
2022-06-08 01:00:00,46280.1164366295,2022-06
2022-06-08 02:00:00,46280.1164366295,2022-06
2022-06-08 03:00:00,46280.1164366295,2022-06
2022-06-08 04:00:00,46280.1164366295,2022-06
2022-06-08 05:00:00,46280.1164366295,2022-06
2022-06-08 06:00:00,46280.1164366295,2022-06
2022-06-08 07:00:00,46280.1164366295,2022-06
2022-06-08 08:00:00,46280.1164366295,2022-06
2022-06-08 09:00:00,46280.1164366295,2022-06
2022-06-08 10:00:00,46280.1164366295,2022-06
2022-06-08 11:00:00,46280.1164366295,2022-06
2022-06-08 12:00:00,46280.1164366295,2022-06
2022-06-08 13:00:00,46280.1164366295,2022-06
2022-06-08 14:00:00,46280.1164366295,2022-06
2022-06-08 15:00:00,46280.1164366295,2022-06
2022-06-08 16:00:00,46280.1164366295,2022-06
2022-06-08 17:00:00,46280.1164366295,2022-06
2022-06-08 18:00:00,46280.1164366295,2022-06
2022-06-08 19:00:00,46233.836320192866,2022-06
2022-06-08 20:00:00,46329.54022362586,2022-06
2022-06-08 21:00:00,46669.65032891778,2022-06
2022-06-08 22:00:00,46495.23882354302,2022-06
2022-06-08 23:00:00,46332.97629901759,2022-06
2022-06-09 00:00:00,46362.10624173585,2022-06
2022-06-09 01:00:00,46157.69043517261,2022-06
2022-06-09 02:00:00,46330.4912802075,2022-06
2022-06-09 03:00:00,46469.069427925664,2022-06
2022-06-09 04:00:00,46429.14039111911,2022-06
2022-06-09 05:00:00,46502.50980450588,2022-06
2022-06-09 06:00:00,46531.93120004754,2022-06
2022-06-09 07:00:00,46766.734798356374,2022-06
2022-06-09 08:00:00,46802.061948477574,2022-06
2022-06-09 09:00:00,46861.71773954199,2022-06
2022-06-09 10:00:00,46684.31500782176,2022-06
2022-06-09 11:00:00,46478.2425220518,2022-06
2022-06-09 12:00:00,46192.02050984532,2022-06
2022-06-09 13:00:00,46275.49873431757,2022-06
2022-06-09 14:00:00,46197.6808304683,2022-06
2022-06-09 15:00:00,46482.4915974246,2022-06
2022-06-09 16:00:00,46558.71418055628,2022-06
2022-06-09 17:00:00,46515.149653268294,2022-06
2022-06-09 18:00:00,46246.24607462103,2022-06
2022-06-09 19:00:00,46045.12828684896,2022-06
2022-06-09 20:00:00,46304.07645063359,2022-06
2022-06-09 21:00:00,46232.563131543255,2022-06
2022-06-09 22:00:00,46122.57803976339,2022-06
2022-06-09 23:00:00,46187.495321271395,2022-06
2022-06-10 00:00:00,45643.230182995074,2022-06
2022-06-10 01:00:00,45843.565650030636,2022-06
2022-06-10 02:00:00,46055.681946980694,2022-06
2022-06-10 03:00:00,46194.321453188,2022-06
2022-06-10 04:00:00,46161.525340743734,2022-06
2022-06-10 05:00:00,46178.5830007241,2022-06
2022-06-10 06:00:00,46165.329567070294,2022-06
2022-06-10 07:00:00,46099.29249313552,2022-06
2022-06-10 08:00:00,46050.788607471935,2022-06
2022-06-10 09:00:00,45861.00680056811,2022-06
2022-06-10 10:00:00,46019.86392894639,2022-06
2022-06-10 11:00:00,46050.40511691483,2022-06
2022-06-10 12:00:00,45470.62875304989,2022-06
2022-06-10 13:00:00,45092.41502600328,2022-06
2022-06-10 14:00:00,45351.608623744454,2022-06
2022-06-10 15:00:00,45182.136476745305,2022-06
2022-06-10 16:00:00,44554.6385479533,2022-06
2022-06-10 17:00:00,44661.325620941985,2022-06
2022-06-10 18:00:00,44572.03367962392,2022-06
2022-06-10 19:00:00,44454.256059723535,2022-06
2022-06-10 20:00:00,44797.86359889632,2022-06
2022-06-10 21:00:00,44791.71241036023,2022-06
2022-06-10 22:00:00,44758.179996046325,2022-06
2022-06-10 23:00:00,44625.84507459794,2022-06
2022-06-11 00:00:00,44843.529654437276,2022-06
2022-06-11 01:00:00,44805.57942890542,2022-06
2022-06-11 02:00:00,44898.58355881634,2022-06
2022-06-11 03:00:00,44902.80195494458,2022-06
2022-06-11 04:00:00,45072.718950989976,2022-06
2022-06-11 05:00:00,44919.7062187021,2022-06
2022-06-11 06:00:00,44967.33574589546,2022-06
2022-06-11 07:00:00,44986.24950017226,2022-06
2022-06-11 08:00:00,44475.74687054411,2022-06
2022-06-11 09:00:00,44596.914546969376,2022-06
2022-06-11 10:00:00,44365.27091085115,2022-06
2022-06-11 11:00:00,44076.88601190256,2022-06
2022-06-11 12:00:00,43686.6460209849,2022-06
2022-06-11 13:00:00,44147.60167063411,2022-06
2022-06-11 14:00:00,43610.00926805155,2022-06
2022-06-11 15:00:00,43573.02543872362,2022-06
2022-06-11 16:00:00,43673.13181375226,2022-06
2022-06-11 17:00:00,43716.77303915166,2022-06
2022-06-11 18:00:00,43888.7302049609,2022-06
2022-06-11 19:00:00,43864.07943194971,2022-06
2022-06-11 20:00:00,43577.059759384436,2022-06
2022-06-11 21:00:00,43811.57190486987,2022-06
2022-06-11 22:00:00,43926.17422295736,2022-06
2022-06-11 23:00:00,43602.41615502072,2022-06
2022-06-12 00:00:00,43727.94028417477,2022-06
2022-06-12 01:00:00,43326.31829352202,2022-06
2022-06-12 02:00:00,42026.48450524569,2022-06
2022-06-12 03:00:00,42026.48450524569,2022-06
2022-06-12 04:00:00,42026.48450524569,2022-06
2022-06-12 05:00:00,42026.48450524569,2022-06
2022-06-12 06:00:00,42026.48450524569,2022-06
2022-06-12 07:00:00,42026.48450524569,2022-06
2022-06-12 08:00:00,42026.48450524569,2022-06
2022-06-12 09:00:00,42026.48450524569,2022-06
2022-06-12 10:00:00,42026.48450524569,2022-06
2022-06-12 11:00:00,42026.48450524569,2022-06
2022-06-12 12:00:00,42026.48450524569,2022-06
2022-06-12 13:00:00,42026.48450524569,2022-06
2022-06-12 14:00:00,42026.48450524569,2022-06
2022-06-12 15:00:00,42026.48450524569,2022-06
2022-06-12 16:00:00,42026.48450524569,2022-06
2022-06-12 17:00:00,42026.48450524569,2022-06
2022-06-12 18:00:00,42026.48450524569,2022-06
2022-06-12 19:00:00,42026.48450524569,2022-06
2022-06-12 20:00:00,42026.48450524569,2022-06
2022-06-12 21:00:00,42026.48450524569,2022-06
2022-06-12 22:00:00,42026.48450524569,2022-06
2022-06-12 23:00:00,42026.48450524569,2022-06
2022-06-13 00:00:00,42026.48450524569,2022-06
2022-06-13 01:00:00,42026.48450524569,2022-06
2022-06-13 02:00:00,42026.48450524569,2022-06
2022-06-13 03:00:00,42026.48450524569,2022-06
2022-06-13 04:00:00,42026.48450524569,2022-06
2022-06-13 05:00:00,42026.48450524569,2022-06
2022-06-13 06:00:00,42026.48450524569,2022-06
2022-06-13 07:00:00,42026.48450524569,2022-06
2022-06-13 08:00:00,42026.48450524569,2022-06
2022-06-13 09:00:00,42026.48450524569,2022-06
2022-06-13 10:00:00,42026.48450524569,2022-06
2022-06-13 11:00:00,42026.48450524569,2022-06
2022-06-13 12:00:00,42026.48450524569,2022-06
2022-06-13 13:00:00,42026.48450524569,2022-06
2022-06-13 14:00:00,42026.48450524569,2022-06
2022-06-13 15:00:00,42026.48450524569,2022-06
2022-06-13 16:00:00,42026.48450524569,2022-06
2022-06-13 17:00:00,42026.48450524569,2022-06
2022-06-13 18:00:00,42026.48450524569,2022-06
2022-06-13 19:00:00,42026.48450524569,2022-06
2022-06-13 20:00:00,42026.48450524569,2022-06
2022-06-13 21:00:00,42026.48450524569,2022-06
2022-06-13 22:00:00,42026.48450524569,2022-06
2022-06-13 23:00:00,42026.48450524569,2022-06
2022-06-14 00:00:00,42026.48450524569,2022-06
2022-06-14 01:00:00,42026.48450524569,2022-06
2022-06-14 02:00:00,42026.48450524569,2022-06
2022-06-14 03:00:00,42026.48450524569,2022-06
2022-06-14 04:00:00,42026.48450524569,2022-06
2022-06-14 05:00:00,42026.48450524569,2022-06
2022-06-14 06:00:00,42026.48450524569,2022-06
2022-06-14 07:00:00,42026.48450524569,2022-06
2022-06-14 08:00:00,42026.48450524569,2022-06
2022-06-14 09:00:00,42026.48450524569,2022-06
2022-06-14 10:00:00,42026.48450524569,2022-06
2022-06-14 11:00:00,42026.48450524569,2022-06
2022-06-14 12:00:00,42026.48450524569,2022-06
2022-06-14 13:00:00,42026.48450524569,2022-06
2022-06-14 14:00:00,42026.48450524569,2022-06
2022-06-14 15:00:00,42026.48450524569,2022-06
2022-06-14 16:00:00,42026.48450524569,2022-06
2022-06-14 17:00:00,42026.48450524569,2022-06
2022-06-14 18:00:00,42026.48450524569,2022-06
2022-06-14 19:00:00,42026.48450524569,2022-06
2022-06-14 20:00:00,42026.48450524569,2022-06
2022-06-14 21:00:00,42026.48450524569,2022-06
2022-06-14 22:00:00,42026.48450524569,2022-06
2022-06-14 23:00:00,42026.48450524569,2022-06
2022-06-15 00:00:00,42026.48450524569,2022-06
2022-06-15 01:00:00,42026.48450524569,2022-06
2022-06-15 02:00:00,42026.48450524569,2022-06
2022-06-15 03:00:00,42026.48450524569,2022-06
2022-06-15 04:00:00,42026.48450524569,2022-06
2022-06-15 05:00:00,42026.48450524569,2022-06
2022-06-15 06:00:00,42026.48450524569,2022-06
2022-06-15 07:00:00,42026.48450524569,2022-06
2022-06-15 08:00:00,42026.48450524569,2022-06
2022-06-15 09:00:00,42026.48450524569,2022-06
2022-06-15 10:00:00,42026.48450524569,2022-06
2022-06-15 11:00:00,42026.48450524569,2022-06
2022-06-15 12:00:00,42026.48450524569,2022-06
2022-06-15 13:00:00,42026.48450524569,2022-06
2022-06-15 14:00:00,42026.48450524569,2022-06
2022-06-15 15:00:00,42026.48450524569,2022-06
2022-06-15 16:00:00,42026.48450524569,2022-06
2022-06-15 17:00:00,42026.48450524569,2022-06
2022-06-15 18:00:00,42026.48450524569,2022-06
2022-06-15 19:00:00,42026.48450524569,2022-06
2022-06-15 20:00:00,42026.48450524569,2022-06
2022-06-15 21:00:00,42026.48450524569,2022-06
2022-06-15 22:00:00,42026.48450524569,2022-06
